Conversion run started at 2026-09-20 18:01:13
Working directory: C:/Git/dal/daltoolbox
[2026-09-20 18:01:17] phase=rmd->md status=ok duration=4.146s file=Rmd/classification/ensemble/12-ensemble-random-forest.Rmd
[2026-09-20 18:01:17] phase=rmd->md status=ok duration=0.193s file=Rmd/classification/ensemble/15-ensemble-bagging.Rmd
[2026-09-20 18:01:18] phase=rmd->md status=ok duration=0.778s file=Rmd/classification/ensemble/16-ensemble-boosting.Rmd
[2026-09-20 18:01:18] phase=rmd->md status=ok duration=0.192s file=Rmd/classification/ensemble/22-boosting-xgboost.Rmd
[2026-09-20 18:01:18] phase=rmd->md status=ok duration=0.010s file=Rmd/classification/ensemble/README.Rmd
[2026-09-20 18:01:18] phase=rmd->md status=ok duration=0.149s file=Rmd/classification/fundamentals/01-baseline-majority.Rmd
[2026-09-20 18:01:19] phase=rmd->md status=ok duration=0.165s file=Rmd/classification/fundamentals/02-interpretable-tree.Rmd
[2026-09-20 18:01:19] phase=rmd->md status=ok duration=0.141s file=Rmd/classification/fundamentals/21-tree-rpart.Rmd
[2026-09-20 18:01:19] phase=rmd->md status=ok duration=0.009s file=Rmd/classification/fundamentals/README.Rmd
[2026-09-20 18:01:19] phase=rmd->md status=ok duration=0.268s file=Rmd/classification/knn/10-instance-based-knn.Rmd
[2026-09-20 18:01:19] phase=rmd->md status=ok duration=0.009s file=Rmd/classification/knn/README.Rmd
[2026-09-20 18:01:19] phase=rmd->md status=ok duration=0.207s file=Rmd/classification/linear-models/17-linear-logistic-glm.Rmd
[2026-09-20 18:01:20] phase=rmd->md status=ok duration=0.347s file=Rmd/classification/linear-models/18-linear-logistic-glmnet.Rmd
[2026-09-20 18:01:20] phase=rmd->md status=ok duration=0.010s file=Rmd/classification/linear-models/README.Rmd
[2026-09-20 18:01:24] phase=rmd->md status=ok duration=4.072s file=Rmd/classification/model-selection/20-model-selection-tuning.Rmd
[2026-09-20 18:01:24] phase=rmd->md status=ok duration=0.010s file=Rmd/classification/model-selection/README.Rmd
[2026-09-20 18:01:24] phase=rmd->md status=ok duration=0.147s file=Rmd/classification/neural-networks/14-neural-mlp.Rmd
[2026-09-20 18:01:24] phase=rmd->md status=ok duration=0.009s file=Rmd/classification/neural-networks/README.Rmd
[2026-09-20 18:01:24] phase=rmd->md status=ok duration=0.218s file=Rmd/classification/probabilistic/11-probabilistic-naive-bayes.Rmd
[2026-09-20 18:01:24] phase=rmd->md status=ok duration=0.166s file=Rmd/classification/probabilistic/19-probabilistic-multinomial.Rmd
[2026-09-20 18:01:24] phase=rmd->md status=ok duration=0.009s file=Rmd/classification/probabilistic/README.Rmd
[2026-09-20 18:01:24] phase=rmd->md status=ok duration=0.010s file=Rmd/classification/README.Rmd
[2026-09-20 18:01:24] phase=rmd->md status=ok duration=0.192s file=Rmd/classification/svm/13-margin-svm.Rmd
[2026-09-20 18:01:24] phase=rmd->md status=ok duration=0.010s file=Rmd/classification/svm/README.Rmd
[2026-09-20 18:01:25] phase=rmd->md status=ok duration=0.193s file=Rmd/clustering/advanced-views/11-fuzzy-cmeans.Rmd
[2026-09-20 18:01:25] phase=rmd->md status=ok duration=0.199s file=Rmd/clustering/advanced-views/12-model-based-gmm.Rmd
[2026-09-20 18:01:25] phase=rmd->md status=ok duration=0.517s file=Rmd/clustering/advanced-views/13-hierarchical-hclust.Rmd
[2026-09-20 18:01:26] phase=rmd->md status=ok duration=0.320s file=Rmd/clustering/advanced-views/14-graph-louvain.Rmd
[2026-09-20 18:01:26] phase=rmd->md status=ok duration=0.010s file=Rmd/clustering/advanced-views/README.Rmd
[2026-09-20 18:01:26] phase=rmd->md status=ok duration=0.147s file=Rmd/clustering/density/10-density-dbscan.Rmd
[2026-09-20 18:01:26] phase=rmd->md status=ok duration=0.010s file=Rmd/clustering/density/README.Rmd
[2026-09-20 18:01:26] phase=rmd->md status=ok duration=0.285s file=Rmd/clustering/model-selection/19-custom-evaluation.Rmd
[2026-09-20 18:01:26] phase=rmd->md status=ok duration=0.338s file=Rmd/clustering/model-selection/20-model-selection-tuning.Rmd
[2026-09-20 18:01:26] phase=rmd->md status=ok duration=0.010s file=Rmd/clustering/model-selection/README.Rmd
[2026-09-20 18:01:27] phase=rmd->md status=ok duration=0.191s file=Rmd/clustering/partitional/01-partitional-kmeans.Rmd
[2026-09-20 18:01:27] phase=rmd->md status=ok duration=0.153s file=Rmd/clustering/partitional/02-medoid-pam.Rmd
[2026-09-20 18:01:27] phase=rmd->md status=ok duration=0.010s file=Rmd/clustering/partitional/README.Rmd
[2026-09-20 18:01:27] phase=rmd->md status=ok duration=0.010s file=Rmd/clustering/README.Rmd
[2026-09-20 18:01:27] phase=rmd->md status=ok duration=0.139s file=Rmd/custom/01-custom-transformation.Rmd
[2026-09-20 18:01:27] phase=rmd->md status=ok duration=0.182s file=Rmd/custom/10-custom-classification.Rmd
[2026-09-20 18:01:27] phase=rmd->md status=ok duration=0.346s file=Rmd/custom/20-custom-regression.Rmd
[2026-09-20 18:01:28] phase=rmd->md status=ok duration=0.249s file=Rmd/custom/30-custom-clustering.Rmd
[2026-09-20 18:01:28] phase=rmd->md status=ok duration=0.083s file=Rmd/custom/40-autoencoder-base-encoder.Rmd
[2026-09-20 18:01:28] phase=rmd->md status=ok duration=0.117s file=Rmd/custom/41-autoencoder-base-encoder-decoder.Rmd
[2026-09-20 18:01:28] phase=rmd->md status=ok duration=0.082s file=Rmd/custom/50-pattern-miner-base.Rmd
[2026-09-20 18:01:28] phase=rmd->md status=ok duration=0.010s file=Rmd/custom/README.Rmd
[2026-09-20 18:01:29] phase=rmd->md status=ok duration=0.519s file=Rmd/graphics/comparison/01-comparison-bar.Rmd
[2026-09-20 18:01:29] phase=rmd->md status=ok duration=0.301s file=Rmd/graphics/comparison/02-comparison-bar-with-error.Rmd
[2026-09-20 18:01:29] phase=rmd->md status=ok duration=0.313s file=Rmd/graphics/comparison/03-comparison-grouped-bar.Rmd
[2026-09-20 18:01:29] phase=rmd->md status=ok duration=0.358s file=Rmd/graphics/comparison/04-comparison-stacked-bar.Rmd
[2026-09-20 18:01:30] phase=rmd->md status=ok duration=0.439s file=Rmd/graphics/comparison/05-comparison-lollipop.Rmd
[2026-09-20 18:01:30] phase=rmd->md status=ok duration=0.294s file=Rmd/graphics/comparison/06-proportion-pie.Rmd
[2026-09-20 18:01:31] phase=rmd->md status=ok duration=0.306s file=Rmd/graphics/comparison/07-profile-radar.Rmd
[2026-09-20 18:01:31] phase=rmd->md status=ok duration=0.010s file=Rmd/graphics/comparison/README.Rmd
[2026-09-20 18:01:32] phase=rmd->md status=ok duration=1.118s file=Rmd/graphics/distribution/10-distribution-histogram.Rmd
[2026-09-20 18:01:33] phase=rmd->md status=ok duration=1.198s file=Rmd/graphics/distribution/11-distribution-density.Rmd
[2026-09-20 18:01:33] phase=rmd->md status=ok duration=0.561s file=Rmd/graphics/distribution/12-distribution-boxplot.Rmd
[2026-09-20 18:01:34] phase=rmd->md status=ok duration=0.332s file=Rmd/graphics/distribution/13-distribution-boxplot-by-class.Rmd
[2026-09-20 18:01:34] phase=rmd->md status=ok duration=0.368s file=Rmd/graphics/distribution/14-distribution-density-by-class.Rmd
[2026-09-20 18:01:34] phase=rmd->md status=ok duration=0.289s file=Rmd/graphics/distribution/20-relationship-scatter.Rmd
[2026-09-20 18:01:35] phase=rmd->md status=ok duration=0.281s file=Rmd/graphics/distribution/21-relationship-points.Rmd
[2026-09-20 18:01:35] phase=rmd->md status=ok duration=0.294s file=Rmd/graphics/distribution/22-relationship-correlation.Rmd
[2026-09-20 18:01:38] phase=rmd->md status=ok duration=2.616s file=Rmd/graphics/distribution/23-relationship-pair.Rmd
[2026-09-20 18:01:43] phase=rmd->md status=ok duration=5.293s file=Rmd/graphics/distribution/24-relationship-pair-advanced.Rmd
[2026-09-20 18:01:43] phase=rmd->md status=ok duration=0.354s file=Rmd/graphics/distribution/25-relationship-parallel.Rmd
[2026-09-20 18:01:44] phase=rmd->md status=ok duration=0.651s file=Rmd/graphics/distribution/26-relationship-pixel.Rmd
[2026-09-20 18:01:44] phase=rmd->md status=ok duration=0.459s file=Rmd/graphics/distribution/27-relationship-dendrogram.Rmd
[2026-09-20 18:01:45] phase=rmd->md status=ok duration=0.277s file=Rmd/graphics/distribution/30-time-series-lines.Rmd
[2026-09-20 18:01:45] phase=rmd->md status=ok duration=0.230s file=Rmd/graphics/distribution/31-time-series-basic.Rmd
[2026-09-20 18:01:45] phase=rmd->md status=ok duration=0.290s file=Rmd/graphics/distribution/32-time-series-forecast.Rmd
[2026-09-20 18:01:46] phase=rmd->md status=ok duration=0.439s file=Rmd/graphics/distribution/40-export-save-pdf.Rmd
[2026-09-20 18:01:46] phase=rmd->md status=ok duration=0.820s file=Rmd/graphics/distribution/41-export-save-jpg.Rmd
[2026-09-20 18:01:46] phase=rmd->md status=ok duration=0.011s file=Rmd/graphics/distribution/README.Rmd
[2026-09-20 18:01:46] phase=rmd->md status=ok duration=0.011s file=Rmd/graphics/README.Rmd
[2026-09-20 18:01:47] phase=rmd->md status=ok duration=0.335s file=Rmd/patterns/01-apriori-rules.Rmd
[2026-09-20 18:01:47] phase=rmd->md status=ok duration=0.385s file=Rmd/patterns/10-eclat-itemsets.Rmd
[2026-09-20 18:01:47] phase=rmd->md status=ok duration=0.268s file=Rmd/patterns/20-cspade-sequences.Rmd
[2026-09-20 18:01:48] phase=rmd->md status=ok duration=0.536s file=Rmd/patterns/30-divergent-association-ranking.Rmd
